Reference,Authors,Date,Age,Error,Method,Minerals,RockType,Rock,Location,Sample,Notes
252,Suppe&Foland,1978,144,6,K-Ar,wm,Metachert,ms,Goat Mtn,C-1120C,Goat Mtn Schist
157,Mulcahy et al.,2014,145,2,Lu-Hf,Lws-wr,Lws bs,bs,Tiburon,RR-1,
167,Peterman et al,1967,145,,Rb-Sr,wr,Graywacke,ms,Angel Island,,"wr ""isochron"""
225,Suppe&Armstrong*,1972,145,6,K-Ar,wm,,mm,Glaucophane Ridge,GR-1M,
246,Suppe&Foland,1979,145,10,K-Ar,ba,metabasalt,bs,Goat Mtn,C-447,Goat Mtn Schist
158,Mulcahy et al.,2014,145.2,0.3,Ar-Ar,wm,Lws bs,bs,Tiburon,RR-1,
15,Coleman&Lanphere*,1971,145.408,8,K-Ar,wm,Grt-Gln schist,bs,"Roseburg, OR",29-69,Table 2
8,Catlos&Sorensen,2003,145.5,1.2,Ar-Ar,wm,Grt amph,amph,Mt. Hamilton,MH-90-01-AA,Weighted mean of data in Table 3
152,Mulcahy et al,2009,145.5,2.4,Lu-Hf,Lws-Gln,Lws bs,bs,Tiburon,,savillex dissolution only
102,McDowell et al.,1984,146,8,K-Ar,ba,Gln schist,bs,Covelo-Layton.,9,Eel River melange
212,Suppe&Armstrong*,1972,146,6,K-Ar,ba,,mm,Berkeley Hills,563G,
211,Suppe&Armstrong*,1972,146.432,6,K-Ar,wm,,mm,Berkeley Hills,563M,
